Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2022,9,10,23,46,57,,,"PAPUA NEW GUINEA: MOROBE, EASTERN HIGHLANDS",-6.256,146.469,90,7.6,8,12,1,,,42,1,,3,,3,,,12,1,,,42,1,,3,,3,,,Papua New Guinea,Oceania,AU
1992,9,11,3,57,26.5,,,CONGO:  KABALO,-6.087,26.651,11,7,,8,1,,,37,1,,1,,2,,,8,1,,,37,1,,1,,2,,,Congo,Africa,AU
2018,2,25,17,44,14,,,"PAPUA NEW GUINEA: S HIGHLANDS, HELA;  INDONESIA",-6.07,142.754,25,7.5,8,145,3,,,300,3,290,4,,4,,4,145,3,,,300,3,290,4,,4,,4,Papua New Guinea,Oceania,AU
1990,5,30,2,34,5.8,,,PERU:  MOYABAMBA-RIOJO,-6.016,-77.229,24,6.5,6,200,3,,,8130,4,1,2,,,,,200,3,,,8130,4,1,2,,,,,Peru,South America,AU
1991,4,5,4,19,49.5,,,"PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA",-5.982,-77.094,20,6.7,7,53,2,,,252,3,,3,,,8063,4,53,2,,,252,3,,3,,,8063,4,Peru,South America,AU
1993,10,13,2,6,0.3,,,PAPUA NEW GUINEA:  EASTERN:  UPPER MARKHAM VALLEY,-5.889,146.02,25,6.9,,60,2,,,200,3,5,2,,,,,60,2,,,200,3,5,2,,,,,Papua New Guinea,Oceania,AU
2019,5,26,7,41,14,,,"PERU:  LA LIBERTAD, CAJAMARCA; ECUADOR",-5.796,-75.298,110,8,,2,1,,,30,1,,2,,3,,3,2,1,,,30,1,,2,,3,,3,Peru,South America,AU
2005,9,26,1,55,37.6,,,"PERU:  LAMAS, CHACHAPOYAS, MOYOBAMBA, TARAPOTA",-5.678,-76.398,115,7.5,,5,1,,,60,2,,2,,3,,,5,1,,,60,2,,2,,3,,,Peru,South America,AU
1971,7,14,6,11,29.1,2034,,PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE,-5.5,153.9,47,7.9,9,2,1,,,5,1,,1,,,,,3,1,,,5,1,,1,,,,,Papua New Guinea,Oceania,AU
1994,2,15,17,7,43.8,,,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",-4.967,104.302,23,6.9,,207,3,,,2000,4,170.476,4,6000,4,,,207,3,,,2000,4,170.476,4,6000,4,,,Indonesia,Asia,AU
2022,10,5,8,26,21,,,PERU:  PIURA,-4.912,-80.56,48,5.8,8,1,1,,,2,1,,,,,,,1,1,,,2,1,,,,,,,Peru,South America,AU
