Year,Month,Day,Hour,Min,Sec,Tsu,Vol,Location_Name,Latitude,Longitude,Focal_Depth_km,Mag,MMI_Int,Deaths,Death_Description,Missing,Missing_Description,Injuries,Injuries_Description,Damage_Mil,Damage_Description,Houses_Destroyed,Houses_Destroyed_Description,Houses_Damaged,Houses_Damaged_Description,Total_Deaths,Total_Death_Description,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Injuries_Description,Total_Damage_Mil,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Destroyed_Description,Total_Houses_Damaged,Total_Houses_Damaged_Description,Country,Continent,Tectonic_Plate
2003,10,16,12,28,9,,,CHINA:  YUNNAN PROVINCE:  DAYAO,25.954,101.254,33,5.6,,3,1,,,32,1,,3,12000,4,12000,4,3,1,,,32,1,,3,12000,4,,,China,Asia,EU
2003,7,21,15,16,31.9,,,CHINA:  YUNNAN PROVINCE,25.975,101.29,10,5.9,,16,1,,,584,3,75,4,264878,4,264878,4,16,1,,,584,3,75,4,264878,4,,,China,Asia,EU
1995,10,23,22,46,50.8,,,CHINA:  YUNNAN PROVINCE:  WUDING,26.003,102.227,10,6.2,,81,2,,,800,3,80,4,200,3,200,3,81,2,,,800,3,80,4,200,3,,,China,Asia,EU
2008,8,30,8,30,54,,,CHINA:  SICHUAN PROVINCE,26.272,101.937,17,5.9,,43,1,,,589,3,,4,392000,4,392000,4,43,1,,,589,3,,4,392000,4,,,China,Asia,EU
2001,10,27,5,35,39.7,,,CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,10,5.6,,1,1,,,220,3,,2,3400,4,3400,4,1,1,,,220,3,,2,3400,4,,,China,Asia,EU
2014,5,8,22,52,23,,,PAKISTAN:  NAWABSHAH,26.387,68.358,15,4.5,,2,1,,,70,2,,1,,2,,,2,1,,,70,2,,1,,2,,,Pakistan,Asia,EU
2021,4,28,2,21,26,,,INDIA:  ASSAM,26.782,92.436,34,6,9,2,1,,,12,1,,2,,,428,3,2,1,,,12,1,,2,,,428,3,India,Asia,EU
2013,9,24,11,30,37,5506,,"PAKISTAN:  AWARAN, KECH",26.951,65.501,15,7.7,4,825,3,,,619,3,,4,32638,4,14118,4,825,3,,,619,3,,4,32638,4,14118,4,Pakistan,Asia,EU
2013,9,28,7,34,45,,,PAKISTAN: AWARAN,27.183,65.505,12,6.8,,22,1,,,50,1,,,,2,,2,22,1,,,50,1,,,,2,,2,Pakistan,Asia,EU
2014,8,3,8,30,57,,,"CHINA:  YUNNAN:  LUDIAN:   LONGTOUSHAN, ZHAOTONG",27.189,103.409,12,6.2,,615,3,114,3,3143,4,,3,25800,4,160400,4,615,3,114,3,3143,4,,3,25800,4,160400,4,China,Asia,EU
2004,8,10,10,26,14.7,,,CHINA:  YUNNAN PROVINCE:  LUDIAN,27.266,103.873,6,5.4,,4,1,,,600,3,50,4,18556,4,65601,4,4,1,,,600,3,50,4,18556,,65601,4,China,Asia,EU
1996,2,3,11,14,20.1,,,CHINA:  YUNNAN PROVINCE:  LIJIANG,27.291,100.276,11,6.6,9,322,3,,,17057,4,506,4,959000,4,959000,4,322,3,,,17057,4,506,4,959000,4,,,China,Asia,EU
2020,5,18,13,48,3,,,CHINA:   YUNNAN PROVINCE:  QIAOJIA,27.296,103.281,10,5.2,,4,1,,,24,1,,2,,1,,,4,1,,,24,1,17,3,,1,,,China,Asia,EU
1998,11,19,11,38,14.8,,,"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",27.308,101.029,33,5.6,,5,1,,,1543,4,70,4,12000,4,12000,4,5,1,,,1543,4,70,4,12000,4,,,China,Asia,EU
2003,11,14,18,49,46.5,,,"CHINA:  YUNNAN PROVINCE:  LUDIAN, ZHAOTONG",27.372,103.971,33,5.6,,4,1,,,65,1,,2,600,3,600,3,4,1,,,65,1,,2,600,3,,,China,Asia,EU
